"rb";"nazivDobavljaca";"nazivPruzatelja";"oib";"adresaPruzatelja";"rbDatumRacuna";"brMedijskihUsluga";"iznosCijeneBezPopusta";"popustPostotak";"placeniIznosPopust";"obveznik_id"
"95";"MOZAIK-MEDIA DOO";"BJELOVARSKI LIST";"34843262857";"Vlatka Mačeka 21, BJELOVAR";"370-01-91 / 29.06.2020";"1";2400;0;3000;"1615286008"
"96";"NOVI LIST DD";"NOVI LIST DD";"44110106406";"ZVONIMIROVA 20A, RIJEKA";"1230-1-361 / 29.06.2020";"5";7500;50;4687.5;"1615286008"
"97";"NOVOGRADIŠKA UDRUGA ZA PROMICANJE LOKLANE UPRAVE I SAMOUPRAVE ""NG PLUS""";"NOVOGRADIŠKA UDRUGA ZA PROMICANJE LOKLANE UPRAVE I SAMOUPRAVE ""NG PLUS""";"74424054574";"CVJETNI TRG 12D, NOVA GRADIŠKA";"47-1-1 / 29.06.2020";"5";1500;0;1500;"1615286008"
"98";"OG MEDIA JDOO";"OGPORTAL";"42309338066";"KARDINALA ALOJZIJA STEPINCA 2, OGULIN";"83-1-1 / 29.06.2020";"1";2000;0;2000;"1615286008"
"99";"PODRAVSKI LIST D.O.O.";"PODRAVSKI LIST D.O.O.";"27495866747";"FLORIJANSKI TRG 15, KOPRIVNICA";"65/1/1 / 29.06.2020";"1";2000;0;2500;"1615286008"
"100";"PODRAVSKI LIST D.O.O.";"PODRAVSKI LIST D.O.O.";"27495866747";"FLORIJANSKI TRG 15, KOPRIVNICA";"65/1/1 / 29.06.2020";"1";6000;0;7500;"1615286008"
"101";"PORTOMEDIA ZA KOMUNIKACIJSKE I PROMOTIVNE USLUGE";"PLOCE ONLINE";"81614480728";"INDUSTRIJSKA 8, PLOČE";"0001-06-02 / 29.06.2020";"1";2000;0;2000;"1615286008"
"102";"RADIO OGULIN DOO";"RADIO OGULIN DOO";"09873730926";"A.STEPINCA 1, OGULIN";"130-01-600 / 29.06.2020";"1";1000;0;1000;"1615286008"
"103";"RADIO PSUNJ DOO";"RADIO PSUNJ DOO";"55239245471";"CVJETNI TRG 12D, NOVA GRADIŠKA";"177 / 29.06.2020";"55";5225;5;6204.69;"1615286008"
"104";"RADIO VRBOVEC DOO";"RADIO VRBOVEC DOO";"63084848982";"TRG PETRA ZRINSKOG 7A, VRBOVEC";"176-1-1 / 29.06.2020";"1";2000;0;2500;"1615286008"
"105";"STRIŽAK DOO";"PS PORTAL";"38120927623";"V.MAČEKA 47, PETRINJA";"47-000-1 / 29.06.2020";"1";3000;0;3750;"1615286008"
"106";"UDRUGA VALPOVŠTINA INFO";"UDRUGA VALPOVŠTINA INFO";"21052285331";"AUGUSTA ŠENOE 11, BELIŠĆE";"20-360-000053 / 29.06.2020";"1";750;0;750;"1615286008"
"107";"UDRUGA ZA MEDIJSKU KULTURU, PLURALIZAM I KOMUNIKACIJE ""PRESS+""";"UDRUGA ZA MEDIJSKU KULTURU, PLURALIZAM I KOMUNIKACIJE ""PRESS+""";"29925686989";"LUJA ADAMIĆA 6, VINKOVCI";"31-1-1 / 29.06.2020";"1";4400;0;5500;"1615286008"
"108";"VIP DIGITAL DOO";"SJEVERNI.INFO";"23175133566";"V.NAZORA 1, IVANEC";"12-01-201 / 29.06.2020";"90";5100;0;5100;"1615286008"
"109";"AGENCIJA KRUNA";"034portal.hr";"21529895762";"MLINSKA ULICA 21, POŽEGA";"346-1-2 / 30.06.2020";"1";675;0;843.75;"1615286008"
"110";"AGENCIJA KRUNA";"pleter-portal.hr";"21529895762";"TRG POBJEDE 16, PLETERNICA";"346-1-2 / 30.06.2020";"1";675;0;843.75;"1615286008"
"111";"AGENCIJA KRUNA";"pozeska-kronika.hr";"21529895762";"MLINSKA ULICA 21, POŽEGA";"346-1-2 / 30.06.2020";"1";675;0;843.75;"1615286008"
"112";"AGENCIJA KRUNA";"POŽEŠKA KRONIKA";"21529895762";"MLINSKA ULICA 21, POŽEGA";"346-1-2 / 30.06.2020";"1";300;0;375;"1615286008"
"113";"AGENCIJA KRUNA";"SBONLINE.NET";"21529895762";"TRG POBJEDE 16, SLAVONSKI BROD";"346-1-2 / 30.06.2020";"1";675;0;843.75;"1615286008"
"114";"EXPRESSAGENCIJA";"EXPRESSAGENCIJA";"58894956548";"KRMPOTIĆEVA 5A, PULA";"145-1-1 / 30.06.2020";"14";12000;0;15000;"1615286008"
"115";"GLAS ISTRE NOVINE DOO";"GLAS ISTRE NOVINE DOO";"89054078461";"JAPODSKA 28, PULA";"125-028-1 / 30.06.2020";"2";2736;4;3283.2;"1615286008"
"116";"GLAS ISTRE NOVINE DOO";"GLAS ISTRE NOVINE DOO";"89054078461";"JAPODSKA 28, PULA";"125-028-1 / 30.06.2020";"2";10200;20;8160;"1615286008"
"117";"GLAS ISTRE NOVINE DOO";"GLAS ISTRE NOVINE DOO";"89054078461";"JAPODSKA 28, PULA";"141-028-1 / 30.06.2020";"5";32832;20;32832;"1615286008"
"118";"GLAS ISTRE NOVINE DOO";"GLAS ISTRE NOVINE DOO";"89054078461";"JAPODSKA 28, PULA";"142-028-1 / 30.06.2020";"1";23100;20;23100;"1615286008"
"119";"GOOGLE IRELAND LIMITED";"GOOGLE IRELAND LIMITED";"";"BARROW STREET, DUBLIN";"595586539541-2 / 30.06.2020";"7";20000;0;20000;"1615286008"
"120";"HIT RADIO DOO";"HIT RADIO DOO";"82297906250";"GLAVIČKA 29, SINJ";"197-2 / 30.06.2020";"30";2100;0;2625;"1615286008"
"121";"INFORMATIVNI CENTAR-HRVATSKA RADIO POSTAJA ČAZMA";"INFORMATIVNI CENTAR-HRVATSKA RADIO POSTAJA ČAZMA";"10703769128";"TRG ČAZMANSKOG KAPTOLA 13, ČAZMA";"233-1-1 / 30.06.2020";"12";3645;0;4556.25;"1615286008"
"122";"ISTARSKI PORTAL DOO";"ISTARSKI PORTAL DOO";"70704729618";"MATE BLAŽINE 4, LABIN";"132-1-1 / 30.06.2020";"5";1300;0;1625;"1615286008"
"123";"KRAFT DRAFT DOO";"KA PORTAL";"33301420608";"DR. VLADKA MAČEKA 14, KARLOVAC";"140-1-1 / 30.06.2020";"4";1500;0;1500;"1615286008"
"124";"KRAFT DRAFT DOO";"KRAFT DRAFT DOO";"33301420608";"DR. VLADKA MAČEKA 14, KARLOVAC";"139-1-1 / 30.06.2020";"10";3000;0;3750;"1615286008"
"125";"LIST MEĐIMURJE DOO";"LIST MEĐIMURJE DOO";"66702054193";"ZRINSKO-FRANKOPANSKA 10, ČAKOVEC";"1477-500-1 / 30.06.2020";"1";6000;0;7500;"1615286008"
"126";"LIST MEĐIMURJE DOO";"LIST MEĐIMURJE DOO";"66702054193";"ZRINSKO-FRANKOPANSKA 10, ČAKOVEC";"1478-500-1 / 30.06.2020";"3";16219.51;18.4;16625;"1615286008"
"127";"LOKALNA RAZVOJNA AGENCIJA-PODUZETNIČKI CENTAR PAKRAC DOO";"LOKALNA RAZVOJNA AGENCIJA-PODUZETNIČKI CENTAR PAKRAC DOO";"24926977965";"ZONA MALE PRIVREDE 5, PAKRAC";"102-4-6 / 30.06.2020";"7";250;0;312.5;"1615286008"
"128";"MEDIA FI DOO";"MEDIA FI DOO";"06285889438";"ZAGREBAČKA 12 A, ROVINJ";"177-1-1 / 30.06.2020";"9";2000;5;2375;"1615286008"
"129";"MEDIA FI DOO";"MEDIA FI DOO";"06285889438";"ZAGREBAČKA 12 A, ROVINJ";"186-1-1 / 30.06.2020";"45";4200;5;4987.5;"1615286008"
"130";"MEDIAN kreativna rješenja";"MEDIAN kreativna rješenja";"46105682870";"I.Meštrovića 50A, ŠIBENIK";"436-01-01-2020 / 30.06.2020";"24";14080;0;17600;"1615286008"
"131";"METKOVIĆ NEWS - KREATIVNA";"METKOVIĆ NEWS - KREATIVNA";"71060875122";"KRALJA ZVONIMIRA 29, METKOVIĆ";"71-1-1 / 30.06.2020";"1";500;0;500;"1615286008"
"132";"MMB MEDIA AGENTUR D.O.O.";"24SATA.HR";"61710439158";"Oreškovićeva 6H/1, ZAGREB";"388/360 / 30.06.2020";"950000";7937.78;0;9922.22;"1615286008"
"133";"MMB MEDIA AGENTUR D.O.O.";"24SATA.HR";"61710439158";"Oreškovićeva 6H/1, ZAGREB";"388/360 / 30.06.2020";"950000";7937.78;0;9922.22;"1615286008"
"134";"MMB MEDIA AGENTUR D.O.O.";"24SATA.HR";"61710439158";"Oreškovićeva 6H/1, ZAGREB";"388/360 / 30.06.2020";"950000";7937.78;0;9922.22;"1615286008"
"135";"MMB MEDIA AGENTUR D.O.O.";"24SATA.HR";"61710439158";"Oreškovićeva 6H/1, ZAGREB";"388/360 / 30.06.2020";"950000";7937.78;0;9922.22;"1615286008"
"136";"MMB MEDIA AGENTUR D.O.O.";"24SATA.HR";"61710439158";"Oreškovićeva 6H/1, ZAGREB";"388/360 / 30.06.2020";"950000";7937.78;0;9922.22;"1615286008"
"137";"MMB MEDIA AGENTUR D.O.O.";"24SATA.HR";"61710439158";"Oreškovićeva 6H/1, ZAGREB";"388/360 / 30.06.2020";"950000";7937.78;0;9922.22;"1615286008"
"138";"MMB MEDIA AGENTUR D.O.O.";"24SATA.HR";"61710439158";"Oreškovićeva 6H/1, ZAGREB";"388/360 / 30.06.2020";"950000";7937.78;0;9922.22;"1615286008"
"139";"MMB MEDIA AGENTUR D.O.O.";"24SATA.HR";"61710439158";"Oreškovićeva 6H/1, ZAGREB";"388/360 / 30.06.2020";"950000";7937.78;0;9922.22;"1615286008"
"140";"MMB MEDIA AGENTUR D.O.O.";"24SATA.HR";"61710439158";"Oreškovićeva 6H/1, ZAGREB";"388/360 / 30.06.2020";"950000";7937.79;0;9922.24;"1615286008"
"141";"MMB MEDIA AGENTUR D.O.O.";"AGENCIJA KRUNA";"61710439158";"Cehovska 8/I, POŽEGA";"388/360 / 30.06.2020";"40000";20000;0;25000;"1615286008"
"142";"MMB MEDIA AGENTUR D.O.O.";"AGENCIJA KRUNA";"61710439158";"Cehovska 8/I, POŽEGA";"388/360 / 30.06.2020";"40000";20000;0;25000;"1615286008"
"143";"MMB MEDIA AGENTUR D.O.O.";"ALFA RADIO";"61710439158";"TRG EUGENA KVATERNIKA 7A, BJELOVAR";"391/360 / 30.06.2020";"67";7034.92;0;8793.65;"1615286008"
"144";"MMB MEDIA AGENTUR D.O.O.";"ANTENA ZADAR";"61710439158";"TRG KNEZA VIŠESLAVA 6, ZADAR";"391/360 / 30.06.2020";"53";6294.3;0;7867.88;"1615286008"
"145";"MMB MEDIA AGENTUR D.O.O.";"ANTENA ZAGREB";"61710439158";"Avenija Većeslava Holjevca 29, ZAGREB";"391/360 / 30.06.2020";"53";7003.28;0;8754.1;"1615286008"
"146";"MMB MEDIA AGENTUR D.O.O.";"ANTENA ZAGREB";"61710439158";"Avenija Većeslava Holjevca 29, ZAGREB";"391/360 / 30.06.2020";"53";7003.28;0;8754.1;"1615286008"
"147";"MMB MEDIA AGENTUR D.O.O.";"ANTENA ZAGREB";"61710439158";"Avenija Većeslava Holjevca 29, ZAGREB";"391/360 / 30.06.2020";"53";7003.28;0;8754.1;"1615286008"
"148";"MMB MEDIA AGENTUR D.O.O.";"ANTENA ZAGREB";"61710439158";"Avenija Većeslava Holjevca 29, ZAGREB";"391/360 / 30.06.2020";"53";7003.29;0;8754.11;"1615286008"
"149";"MMB MEDIA AGENTUR D.O.O.";"CMC";"61710439158";"MAKARSKA 3, ZAGREB";"392/360 / 30.06.2020";"103";1291.11;0;1613.89;"1615286008"
"150";"MMB MEDIA AGENTUR D.O.O.";"CMC";"61710439158";"MAKARSKA 3, ZAGREB";"392/360 / 30.06.2020";"103";1291.11;0;1613.89;"1615286008"
"151";"MMB MEDIA AGENTUR D.O.O.";"CMC";"61710439158";"MAKARSKA 3, ZAGREB";"392/360 / 30.06.2020";"103";1291.11;0;1613.89;"1615286008"
"152";"MMB MEDIA AGENTUR D.O.O.";"CMC";"61710439158";"MAKARSKA 3, ZAGREB";"392/360 / 30.06.2020";"103";1291.11;0;1613.89;"1615286008"
"153";"MMB MEDIA AGENTUR D.O.O.";"CMC";"61710439158";"MAKARSKA 3, ZAGREB";"392/360 / 30.06.2020";"103";1291.11;0;1613.89;"1615286008"
"154";"MMB MEDIA AGENTUR D.O.O.";"CMC";"61710439158";"MAKARSKA 3, ZAGREB";"392/360 / 30.06.2020";"103";1291.11;0;1613.89;"1615286008"
"155";"MMB MEDIA AGENTUR D.O.O.";"CMC";"61710439158";"MAKARSKA 3, ZAGREB";"392/360 / 30.06.2020";"103";1291.11;0;1613.89;"1615286008"
"156";"MMB MEDIA AGENTUR D.O.O.";"CMC";"61710439158";"MAKARSKA 3, ZAGREB";"392/360 / 30.06.2020";"103";1291.11;0;1613.89;"1615286008"
"157";"MMB MEDIA AGENTUR D.O.O.";"CMC";"61710439158";"MAKARSKA 3, ZAGREB";"392/360 / 30.06.2020";"103";1291.1;0;1613.88;"1615286008"
"158";"MMB MEDIA AGENTUR D.O.O.";"DALMACIJA DANAS";"61710439158";"Matoševa 44, SPLIT";"388/360 / 30.06.2020";"50000";6500;0;8125;"1615286008"
"159";"MMB MEDIA AGENTUR D.O.O.";"DALMACIJA DANAS";"61710439158";"Matoševa 44, SPLIT";"388/360 / 30.06.2020";"50000";6500;0;8125;"1615286008"
"160";"MMB MEDIA AGENTUR D.O.O.";"DALMATINSKI PORTAL";"61710439158";"Zrinsko-frankopanska 211, SPLIT";"388/360 / 30.06.2020";"50000";6500;0;8125;"1615286008"
"161";"MMB MEDIA AGENTUR D.O.O.";"DALMATINSKI PORTAL";"61710439158";"Zrinsko-frankopanska 211, SPLIT";"388/360 / 30.06.2020";"50000";6500;0;8125;"1615286008"
"162";"MMB MEDIA AGENTUR D.O.O.";"DNEVNIK.HR";"61710439158";"Remetinečka cesta 139, ZAGREB";"388/360 / 30.06.2020";"182000";2233.34;0;2791.67;"1615286008"
"163";"MMB MEDIA AGENTUR D.O.O.";"DNEVNIK.HR";"61710439158";"Remetinečka cesta 139, ZAGREB";"388/360 / 30.06.2020";"182000";2233.34;0;2791.67;"1615286008"
"164";"MMB MEDIA AGENTUR D.O.O.";"DNEVNIK.HR";"61710439158";"Remetinečka cesta 139, ZAGREB";"388/360 / 30.06.2020";"182000";2233.34;0;2791.67;"1615286008"
"165";"MMB MEDIA AGENTUR D.O.O.";"DNEVNIK.HR";"61710439158";"Remetinečka cesta 139, ZAGREB";"388/360 / 30.06.2020";"182000";2233.34;0;2791.67;"1615286008"
"166";"MMB MEDIA AGENTUR D.O.O.";"DNEVNIK.HR";"61710439158";"Remetinečka cesta 139, ZAGREB";"388/360 / 30.06.2020";"182000";2233.34;0;2791.67;"1615286008"
"167";"MMB MEDIA AGENTUR D.O.O.";"DNEVNIK.HR";"61710439158";"Remetinečka cesta 139, ZAGREB";"388/360 / 30.06.2020";"182000";2233.34;0;2791.67;"1615286008"
"168";"MMB MEDIA AGENTUR D.O.O.";"DNEVNIK.HR";"61710439158";"Remetinečka cesta 139, ZAGREB";"388/360 / 30.06.2020";"182000";2233.34;0;2791.67;"1615286008"
"169";"MMB MEDIA AGENTUR D.O.O.";"DNEVNIK.HR";"61710439158";"Remetinečka cesta 139, ZAGREB";"388/360 / 30.06.2020";"182000";2233.34;0;2791.67;"1615286008"
"170";"MMB MEDIA AGENTUR D.O.O.";"DNEVNIK.HR";"61710439158";"Remetinečka cesta 139, ZAGREB";"388/360 / 30.06.2020";"182000";2233.31;0;2791.64;"1615286008"
"171";"MMB MEDIA AGENTUR D.O.O.";"dubrovački dnevnik";"61710439158";"Krapinska 45, ZAGREB";"388/360 / 30.06.2020";"50000";9300;0;11625;"1615286008"
"172";"MMB MEDIA AGENTUR D.O.O.";"EMEĐIMURJE";"61710439158";"Krapinska 45, ZAGREB";"388/360 / 30.06.2020";"50000";6000;0;7500;"1615286008"
"173";"MMB MEDIA AGENTUR D.O.O.";"FIUMAN.HR";"61710439158";"Stubište Lipovica 3, OPATIJA";"388/360 / 30.06.2020";"40000";3200;0;4000;"1615286008"
"174";"MMB MEDIA AGENTUR D.O.O.";"GLAS SLAVONIJE";"61710439158";"ULICA HRVATSKE REPUBLIKE 20, OSIJEK";"390/360 / 30.06.2020";"1";1960;0;2450;"1615286008"
"175";"MMB MEDIA AGENTUR D.O.O.";"GLAS SLAVONIJE";"61710439158";"ULICA HRVATSKE REPUBLIKE 20, OSIJEK";"390/360 / 30.06.2020";"1";1960;0;2450;"1615286008"
"176";"MMB MEDIA AGENTUR D.O.O.";"GOOGLE";"61710439158";"GORDON HOUSE BARROW STREET, DUBLIN";"388/360 / 30.06.2020";"31033028";10694.45;0;13368.06;"1615286008"
"177";"MMB MEDIA AGENTUR D.O.O.";"GOOGLE";"61710439158";"GORDON HOUSE BARROW STREET, DUBLIN";"388/360 / 30.06.2020";"31033028";10694.45;0;13368.06;"1615286008"
"178";"MMB MEDIA AGENTUR D.O.O.";"GOOGLE";"61710439158";"GORDON HOUSE BARROW STREET, DUBLIN";"388/360 / 30.06.2020";"13033028";10694.45;0;13368.06;"1615286008"
"179";"MMB MEDIA AGENTUR D.O.O.";"GOOGLE";"61710439158";"GORDON HOUSE BARROW STREET, DUBLIN";"388/360 / 30.06.2020";"31033028";10694.45;0;13368.06;"1615286008"
"180";"MMB MEDIA AGENTUR D.O.O.";"GOOGLE";"61710439158";"GORDON HOUSE BARROW STREET, DUBLIN";"388/360 / 30.06.2020";"31033028";10694.45;0;13368.06;"1615286008"
"181";"MMB MEDIA AGENTUR D.O.O.";"GOOGLE";"61710439158";"GORDON HOUSE BARROW STREET, DUBLIN";"388/360 / 30.06.2020";"31033028";10694.45;0;13368.06;"1615286008"
"182";"MMB MEDIA AGENTUR D.O.O.";"GOOGLE";"61710439158";"GORDON HOUSE BARROW STREET, DUBLIN";"388/360 / 30.06.2020";"31033028";10694.45;0;13368.06;"1615286008"
"183";"MMB MEDIA AGENTUR D.O.O.";"GOOGLE";"61710439158";"GORDON HOUSE BARROW STREET, DUBLIN";"388/360 / 30.06.2020";"31033028";10694.45;0;13368.06;"1615286008"
"184";"MMB MEDIA AGENTUR D.O.O.";"GOOGLE";"61710439158";"GORDON HOUSE BARROW STREET, DUBLIN";"388/360 / 30.06.2020";"31033028";10694.42;0;13368.02;"1615286008"
"185";"MMB MEDIA AGENTUR D.O.O.";"HR MREŽA";"61710439158";"PRISAVLJE 3, ZAGREB";"391/360 / 30.06.2020";"53";4633.87;0;5792.34;"1615286008"
"186";"MMB MEDIA AGENTUR D.O.O.";"HR MREŽA";"61710439158";"PRISAVLJE 3, ZAGREB";"391/360 / 30.06.2020";"53";2316.94;0;2896.17;"1615286008"
"187";"MMB MEDIA AGENTUR D.O.O.";"HR MREŽA";"61710439158";"PRISAVLJE 3, ZAGREB";"391/360 / 30.06.2020";"53";4633.87;0;5792.34;"1615286008"
"188";"MMB MEDIA AGENTUR D.O.O.";"HR MREŽA";"61710439158";"PRISAVLJE 3, ZAGREB";"391/360 / 30.06.2020";"53";4633.87;0;5792.34;"1615286008"
"189";"MMB MEDIA AGENTUR D.O.O.";"HR MREŽA";"61710439158";"PRISAVLJE 3, ZAGREB";"391/360 / 30.06.2020";"53";4633.87;0;5792.34;"1615286008"
"190";"MMB MEDIA AGENTUR D.O.O.";"HR MREŽA";"61710439158";"PRISAVLJE 3, ZAGREB";"391/360 / 30.06.2020";"53";2316.94;0;2896.17;"1615286008"
"191";"MMB MEDIA AGENTUR D.O.O.";"hr mreža";"61710439158";"PRISAVLJE 3, zagreb";"391/360 / 30.06.2020";"53";4633.87;0;5792.34;"1615286008"
"192";"MMB MEDIA AGENTUR D.O.O.";"HR MREŽA";"61710439158";"PRISAVLJE 3, ZAGREB";"391/360 / 30.06.2020";"53";6950.81;0;8688.51;"1615286008"
"193";"MMB MEDIA AGENTUR D.O.O.";"HR MREŽA";"61710439158";"PRISAVLJE 3, ZAGREB";"391/360 / 30.06.2020";"53";6950.79;0;8688.49;"1615286008"
"194";"MMB MEDIA AGENTUR D.O.O.";"HR VALPOVO";"61710439158";"ULICA KRALJA PETRA KREŠIMIRA IV. 1, VALPOVO";"391/360 / 30.06.2020";"21";1160.24;0;1450.3;"1615286008"
"195";"MMB MEDIA AGENTUR D.O.O.";"HRVATSKI RADIO OTOČAC";"61710439158";"TRG FRANJE TUĐMANA 6, OTOČAC";"391/360 / 30.06.2020";"67";2049.27;0;2561.59;"1615286008"
"196";"MMB MEDIA AGENTUR D.O.O.";"HRVATSKI RADIO VUKOVAR";"61710439158";"ULICA DR. FRANJE TUĐMANA 13, VUKOVAR";"391/360 / 30.06.2020";"67";4424.86;0;5531.08;"1615286008"
"197";"MMB MEDIA AGENTUR D.O.O.";"HTV 1";"61710439158";"PRISAVLJE 3, ZAGREB";"392/360 / 30.06.2020";"500";61897.69;0;77372.11;"1615286008"
"198";"MMB MEDIA AGENTUR D.O.O.";"HTV 1";"61710439158";"PRISAVLJE 3, ZAGREB";"392/360 / 30.06.2020";"500";61897.69;0;77372.11;"1615286008"
"199";"MMB MEDIA AGENTUR D.O.O.";"HTV 1";"61710439158";"PRISAVLJE 3, ZAGREB";"392/360 / 30.06.2020";"500";61897.69;0;77372.11;"1615286008"
"200";"MMB MEDIA AGENTUR D.O.O.";"HTV 1";"61710439158";"PRISAVLJE 3, ZAGREB";"392/360 / 30.06.2020";"500";61897.69;0;77372.11;"1615286008"
"201";"MMB MEDIA AGENTUR D.O.O.";"HTV 1";"61710439158";"PRISAVLJE 3, ZAGREB";"392/360 / 30.06.2020";"500";61897.69;0;77372.11;"1615286008"
"202";"MMB MEDIA AGENTUR D.O.O.";"HTV 1";"61710439158";"PRISAVLJE 3, ZAGREB";"392/360 / 30.06.2020";"500";61897.69;0;77372.11;"1615286008"
"203";"MMB MEDIA AGENTUR D.O.O.";"HTV 1";"61710439158";"PRISAVLJE 3, ZAGREB";"392/360 / 30.06.2020";"500";61897.69;0;77372.11;"1615286008"
"204";"MMB MEDIA AGENTUR D.O.O.";"HTV 1";"61710439158";"PRISAVLJE 3, ZAGREB";"392/360 / 30.06.2020";"500";31039.56;0;38799.45;"1615286008"
"205";"MMB MEDIA AGENTUR D.O.O.";"HTV 1";"61710439158";"PRISAVLJE 3, ZAGREB";"392/360 / 30.06.2020";"500";61897.69;0;77372.11;"1615286008"
"206";"MMB MEDIA AGENTUR D.O.O.";"HTV 1";"61710439158";"PRISAVLJE 3, ZAGREB";"392/360 / 30.06.2020";"500";61896.94;0;77371.17;"1615286008"
"207";"MMB MEDIA AGENTUR D.O.O.";"INDEX.HR";"61710439158";"Radnička cesta 37 b, ZAGREB";"388/360 / 30.06.2020";"1000000";3388.89;0;4236.11;"1615286008"
"208";"MMB MEDIA AGENTUR D.O.O.";"INDEX.HR";"61710439158";"Radnička cesta 37 b, ZAGREB";"388/360 / 30.06.2020";"1000000";3388.89;0;4236.11;"1615286008"
"209";"MMB MEDIA AGENTUR D.O.O.";"INDEX.HR";"61710439158";"Radnička cesta 37 b, ZAGREB";"388/360 / 30.06.2020";"4236,11";3388.89;0;4236.11;"1615286008"
"210";"MMB MEDIA AGENTUR D.O.O.";"INDEX.HR";"61710439158";"Radnička cesta 37 b, ZAGREB";"388/360 / 30.06.2020";"1000000";3388.89;0;4236.11;"1615286008"
"211";"MMB MEDIA AGENTUR D.O.O.";"INDEX.HR";"61710439158";"Radnička cesta 37 b, ZAGREB";"388/360 / 30.06.2020";"1000000";3388.89;0;4236.11;"1615286008"
"212";"MMB MEDIA AGENTUR D.O.O.";"INDEX.HR";"61710439158";"Radnička cesta 37 b, ZAGREB";"388/360 / 30.06.2020";"1000000";3388.89;0;4236.11;"1615286008"
"213";"MMB MEDIA AGENTUR D.O.O.";"INDEX.HR";"61710439158";"Radnička cesta 37 b, ZAGREB";"388/360 / 30.06.2020";"1000000";3388.89;0;4236.11;"1615286008"
"214";"MMB MEDIA AGENTUR D.O.O.";"INDEX.HR";"61710439158";"Radnička cesta 37 b, ZAGREB";"388/360 / 30.06.2020";"1000000";3388.89;0;4236.11;"1615286008"
"215";"MMB MEDIA AGENTUR D.O.O.";"INDEX.HR";"61710439158";"Radnička cesta 37 b, ZAGREB";"388/360 / 30.06.2020";"1000000";3388.9;0;4236.12;"1615286008"
"216";"MMB MEDIA AGENTUR D.O.O.";"JUTARNJI.HR";"61710439158";"Koranska 2, ZAGREB";"388/360 / 30.06.2020";"8191,03";6552.82;0;8191.03;"1615286008"
"217";"MMB MEDIA AGENTUR D.O.O.";"JUTARNJI.HR";"61710439158";"Koranska 2, ZAGREB";"388/360 / 30.06.2020";"972222";6552.82;0;8191.03;"1615286008"
"218";"MMB MEDIA AGENTUR D.O.O.";"JUTARNJI.HR";"61710439158";"Koranska 2, ZAGREB";"388/360 / 30.06.2020";"972222";6552.82;0;8191.03;"1615286008"
"219";"MMB MEDIA AGENTUR D.O.O.";"JUTARNJI.HR";"61710439158";"Koranska 2, ZAGREB";"388/360 / 30.06.2020";"972222";6552.82;0;8191.03;"1615286008"
"220";"MMB MEDIA AGENTUR D.O.O.";"JUTARNJI.HR";"61710439158";"Koranska 2, ZAGREB";"388/360 / 30.06.2020";"972222";6552.82;0;8191.03;"1615286008"
"221";"MMB MEDIA AGENTUR D.O.O.";"JUTARNJI.HR";"61710439158";"Koranska 2, ZAGREB";"388/360 / 30.06.2020";"972222";6552.82;0;8191.03;"1615286008"
"222";"MMB MEDIA AGENTUR D.O.O.";"JUTARNJI.HR";"61710439158";"Koranska 2, ZAGREB";"388/360 / 30.06.2020";"972222";6552.82;0;8191.03;"1615286008"
"223";"MMB MEDIA AGENTUR D.O.O.";"JUTARNJI.HR";"61710439158";"Koranska 2, ZAGREB";"388/360 / 30.06.2020";"972222";6552.82;0;8191.03;"1615286008"
"224";"MMB MEDIA AGENTUR D.O.O.";"JUTARNJI.HR";"61710439158";"Koranska 2, ZAGREB";"388/360 / 30.06.2020";"972222";6552.84;0;8191.05;"1615286008"
"225";"MMB MEDIA AGENTUR D.O.O.";"KANAL RI";"61710439158";"Trg Riječke rezolucije 3, ZAGREB";"392/360 / 30.06.2020";"62";4960;0;6200;"1615286008"
"226";"MMB MEDIA AGENTUR D.O.O.";"KANAL5.HR";"61710439158";"Ulica kneza Mislava 2, ZAGREB";"388/360 / 30.06.2020";"50000";12500;0;15625;"1615286008"
"227";"MMB MEDIA AGENTUR D.O.O.";"KANAL5.HR";"61710439158";"Ulica kneza Mislava 2, ZAGREB";"388/360 / 30.06.2020";"50000";12500;0;15625;"1615286008"
"228";"MMB MEDIA AGENTUR D.O.O.";"KANAL5.HR";"61710439158";"Ulica kneza Mislava 2, ZAGREB";"388/360 / 30.06.2020";"50000";12500;0;15625;"1615286008"
"229";"MMB MEDIA AGENTUR D.O.O.";"KANAL5.HR";"61710439158";"Ulica kneza Mislava 2, ZAGREB";"388/360 / 30.06.2020";"50000";12500;0;15625;"1615286008"
"230";"MMB MEDIA AGENTUR D.O.O.";"LIDER";"61710439158";"SAVSKA CESTA 41, ZAGREB";"390/360 / 30.06.2020";"1";1444.45;0;1805.56;"1615286008"
"231";"MMB MEDIA AGENTUR D.O.O.";"LIDER";"61710439158";"SAVSKA CESTA 41, ZAGREB";"390/360 / 30.06.2020";"1";1444.45;0;1805.56;"1615286008"
"232";"MMB MEDIA AGENTUR D.O.O.";"LIDER";"61710439158";"SAVSKA CESTA 41, ZAGREB";"390/360 / 30.06.2020";"1";1444.45;0;1805.56;"1615286008"
"233";"MMB MEDIA AGENTUR D.O.O.";"LIDER";"61710439158";"SAVSKA CESTA 41, ZAGREB";"390/360 / 30.06.2020";"1";1444.45;0;1805.56;"1615286008"
